회원코드,프로그램,상태,프로그램가격,최종결제금액,결제시각,결제유형,채널,보조식품가격,보조식품(추가구매)
Y9RY2VSI,체중감량 프로그램 (타입B),completed,112500,112500,2017-04-14 오후 7:03:29.976000,Recurring,others,0,구매안함
3GTN3S3B,체중감량 프로그램 (타입B),completed,44780,44780,2017-05-23 오후 8:53:54.368000,Recurring,others,0,구매안함
6B0IG276,체중감량 프로그램 (타입 A),completed,132000,149000,2017-08-23 오후 11:39:21.840000,Recurring,facebook,17000,식이요법보조제A
EMGRU2MO,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-28 오후 8:18:22.824000,Recurring,naver,0,구매안함
1ELG96TX,체중감량 프로그램 (타입B),completed,44780,44780,2017-05-07 오후 5:50:30.944000,Recurring,facebook,0,구매안함
2GHCC4T1,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-08-24 오전 8:24:43.256000,Recurring,email,0,구매안함
ERJUS7LV,체중감량 프로그램 (타입B),cancelled,112500,112500,2017-05-25 오전 9:38:14.776000,Recurring,others,0,구매안함
QJ0M8FE7,체중감량 프로그램 (타입B),completed,44780,44780,2017-04-17 오후 7:19:01.024000,Recurring,others,0,구매안함
U9AELHAT,체중감량 프로그램 (타입 A),completed,112500,129500,2017-08-09 오후 3:24:28.296000,Recurring,facebook,17000,식이요법보조제A
BXOWUYDX,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-03 오후 9:03:44.352000,Recurring,facebook,0,구매안함
0VRP0TMF,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-07-30 오전 9:49:03.624000,Recurring,facebook,0,구매안함
WHA00T0L,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-06-13 오전 9:40:59.264000,Recurring,facebook,0,구매안함
0YPFDVKU,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-08-22 오후 12:48:08.800000,Recurring,facebook,0,구매안함
O0C3P7SU,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-07-11 오후 11:30:44.687999,Recurring,facebook,0,구매안함
7T5RYBLV,체중감량 프로그램 (타입B),cancelled,112500,112500,2017-05-18 오후 2:03:06.000000,Recurring,direct,0,구매안함
ZC01N2ST,체중감량 프로그램 (타입 A),completed,112500,129500,2017-05-12 오전 11:07:15.656000,Recurring,facebook,17000,식이요법보조제A
AN2WB6OQ,체중감량 프로그램 (타입 A),completed,112500,112500,2017-06-19 오전 2:10:51.824001,Recurring,facebook,0,구매안함
LP7OHA42,체중감량 프로그램 (타입B),completed,112500,112500,2017-03-29 오후 1:35:57.672000,Recurring,facebook,0,구매안함
FJSTM98I,체중감량 프로그램 (타입 A),completed,112500,112500,2017-07-25 오후 2:14:20.144000,Recurring,facebook,0,구매안함
G4VXSSP3,체중감량 프로그램 (타입 A),completed,112500,112500,2017-07-30 오후 9:35:18.728000,Recurring,others,0,구매안함
VFXF1G53,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-08-11 오후 11:47:54.744000,Recurring,others,0,구매안함
Z6D4QC4N,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-09 오전 2:51:00.120000,Recurring,facebook,0,구매안함
A61CXZBB,체중감량 프로그램 (타입 A),completed,112500,129500,2017-08-16 오후 9:04:13.144000,Recurring,facebook,17000,식이요법보조제A
8Z1PV3S9,체중감량 프로그램 (타입 A),refunded,112500,112500,2017-08-31 오후 4:56:38.624001,Recurring,facebook,0,구매안함
A87BXGTI,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-15 오후 6:58:08.856000,Recurring,email,0,구매안함
4X7L3N7Q,체중감량 프로그램 (타입B),completed,112500,129500,2017-04-16 오후 1:44:20.592000,Recurring,facebook,17000,식이요법보조제A
PYEYV5F4,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-23 오전 11:56:39.432000,Recurring,facebook,0,구매안함
N67TYB3D,체중감량 프로그램 (타입 A),completed,112500,129500,2017-06-21 오전 9:27:47.712000,Recurring,facebook,17000,식이요법보조제A
BDNMH06U,체중감량 프로그램 (타입 A),completed,112500,129500,2017-08-04 오전 7:53:46.304000,Recurring,facebook,17000,식이요법보조제A
L02H0RJM,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-08-15 오후 2:03:26.704000,Recurring,email,0,구매안함
L6HBLXR9,체중감량 프로그램 (타입B),completed,112500,112500,2017-05-02 오전 12:06:31.904000,Recurring,google,0,구매안함
71UFR10M,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-07-26 오후 2:09:27.848000,Recurring,facebook,0,구매안함
HBWN6WKY,체중감량 프로그램 (타입B),cancelled,112500,112500,2017-03-14 오후 3:56:10.184000,Recurring,facebook,0,구매안함
SDB0JD2T,체중감량 프로그램 (타입B),completed,112500,129500,2017-04-18 오후 7:55:11.208000,Recurring,facebook,17000,식이요법보조제A
SELI52Q1,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-06-05 오후 11:45:58.400000,Recurring,facebook,0,구매안함
O4OWMJG7,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-07-20 오후 8:20:03.880000,Recurring,facebook,0,구매안함
57W10VIH,체중감량 프로그램 (타입 A),cancelled,68900,85900,2017-08-11 오전 1:44:50.112000,Recurring,facebook,0,구매안함
W66XIBPR,체중감량 프로그램 (타입 A),completed,112500,129500,2017-08-11 오후 9:29:20.824000,Recurring,facebook,17000,식이요법보조제A
Y2EQ6I1Y,체중감량 프로그램 (타입 A),completed,112500,129500,2017-07-19 오후 5:47:04.128000,Recurring,facebook,17000,식이요법보조제A
F9MES5MW,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-08-30 오후 11:28:27.032000,Recurring,facebook,0,구매안함
9YKKZL7G,체중감량 프로그램 (타입B),completed,112500,112500,2017-03-10 오후 5:09:08.280000,Recurring,facebook,0,구매안함
C6SIE8AP,체중감량 프로그램 (타입B),completed,112500,129500,2017-05-10 오후 6:22:41.136000,Recurring,facebook,17000,식이요법보조제A
OMPJG711,체중감량 프로그램 (타입B),completed,44780,44780,2017-04-25 오전 8:12:56.296000,Recurring,others,0,구매안함
KR7ZUISV,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-13 오전 10:02:10.784000,Recurring,others,0,구매안함
