기준연도,시군명,연령대,성별,결제건수,결제금액,결제취소건수,결제취소금액,1회평균결제금액
2023,가평군,10,남,8409,188845090,46,4871840,22457
2023,가평군,10,여,6584,176605435,68,1841390,26823
2023,가평군,20,남,70363,1545018255,728,37559999,21958
2023,가평군,20,여,55118,1332506645,681,27996349,24176
2023,가평군,30,남,110968,2682234965,1382,84476317,24171
2023,가평군,30,여,99493,2563403916,1230,54207827,25765
2023,가평군,40,남,167399,4188413440,1629,100770277,25021
2023,가평군,40,여,189169,4782432633,1909,77437079,25281
2023,가평군,50,남,190205,4879269120,1796,109244307,25653
2023,가평군,50,여,170268,4780308547,1587,83345676,28075
2023,가평군,60,남,152355,4134346549,1711,117406963,27136
2023,가평군,60,여,139833,3865390398,1455,78865713,27643
2023,가평군,70,남,48784,1409900715,680,55765030,28901
2023,가평군,70,여,33691,879713472,326,16688410,26111
2023,가평군,80,남,6836,197625456,77,4300360,28910
2023,가평군,80,여,4243,140084165,38,1567980,33015
2023,가평군,기타,-,91045,2592855508,682,30353005,28479
2023,고양시,10,남,80348,1551565824,348,15614255,19311
2023,고양시,10,여,81511,1638715029,460,21222796,20104
2023,고양시,20,남,620304,9383723031,3646,88401542,15128
2023,고양시,20,여,667522,11422122145,5067,135259815,17111
2023,고양시,30,남,479493,9357411531,2491,81666844,19515
2023,고양시,30,여,659449,15135019922,4346,178742391,22951
2023,고양시,40,남,791743,19760916918,4137,173208492,24959
2023,고양시,40,여,1110201,26524695442,6719,255538856,23892
2023,고양시,50,남,693793,13246234247,3453,103963707,19092
2023,고양시,50,여,777743,14576511726,5366,139013940,18742
2023,고양시,60,남,377377,6249814076,2042,44203936,16561
2023,고양시,60,여,347788,6338975847,2866,72208506,18227
2023,고양시,70,남,78932,1287157650,438,11284785,16307
2023,고양시,70,여,84154,1505759389,705,17338158,17893
2023,고양시,80대이상,남,17901,314668435,120,2806619,17578
2023,고양시,80대이상,여,17631,313498611,108,3484980,17781
2023,고양시,기타,-,18426,309697499,157,2476336,16808
2023,과천시,10,남,22766,513669271,88,6161480,22563
2023,과천시,10,여,17165,470718771,99,6398930,27423
2023,과천시,20,남,91106,1439339202,443,12439880,15799
2023,과천시,20,여,93546,1664463426,586,17897761,17793
2023,과천시,30,남,147593,2801833805,864,29099616,18984
2023,과천시,30,여,215049,4555421132,1436,54449428,21183
2023,과천시,40,남,212778,5847236129,1236,65183640,27480
2023,과천시,40,여,293082,7547659168,2015,96652806,25753
2023,과천시,50,남,164113,3562010888,984,32740411,21705
2023,과천시,50,여,216684,4490800324,1555,56005590,20725
2023,과천시,60,남,119960,2124716713,697,21562273,17712
2023,과천시,60,여,147242,2857915886,1265,35614908,19410
2023,과천시,70,남,31354,587902551,248,7228993,18750
2023,과천시,70,여,33196,679442668,284,9841440,20468
2023,과천시,80,남,8858,165821079,79,2109107,18720
2023,과천시,80,여,11282,208881861,81,1757101,18515
2023,과천시,기타,-,6619,103283636,68,1353470,15604
2023,광명시,10,남,65198,1765956765,301,20140011,27086
2023,광명시,10,여,67159,2026662983,388,27133571,30177
2023,광명시,20,남,282340,4684647536,2110,103305232,16592
2023,광명시,20,여,301842,5604552813,2258,92109871,18568
2023,광명시,30,남,490074,11795184064,5010,416413640,24068
2023,광명시,30,여,612977,16210634358,4747,300199580,26446
2023,광명시,40,남,851289,27444557085,7441,612080577,32239
2023,광명시,40,여,1195721,35080509033,8426,485433541,29338
2023,광명시,50,남,599090,13871049050,4166,279250365,23154
2023,광명시,50,여,639276,12947503185,4231,189997440,20253
2023,광명시,60,남,286019,5041076630,2061,111880565,17625
2023,광명시,60,여,362033,6756008301,2355,92526529,18661
2023,광명시,70,남,78219,1389895727,440,12215871,17769
2023,광명시,70,여,100978,1867303540,628,26742591,18492
2023,광명시,80대 이상,남,12968,230563965,75,2451285,17779
2023,광명시,80대 이상,여,14660,282590814,121,5640013,19276
2023,광명시,기타,-,263912,3893876498,1748,28339295,14754
2023,광주시,10,남,57186,1152084375,294,12306048,20146
2023,광주시,10,여,57202,1206077072,384,16099630,21085
2023,광주시,20,남,289010,5573549023,3088,186665248,19285
2023,광주시,20,여,285207,6209298618,3027,152067872,21771
2023,광주시,30,남,573504,13701606742,7366,576270613,23891
2023,광주시,30,여,771656,19271957151,7957,473006402,24975
