시군명,기준년월,월별신규가입자수(명),월별충전액(백만원),월별사용액(백만원)
가평군,2023-12,484,4051,2140
가평군,2023-11,458,2368,2187
가평군,2023-10,555,2596,2335
가평군,2023-09,782,3113,2376
가평군,2023-08,473,3631,2392
가평군,2023-07,580,2682,2536
가평군,2023-06,883,4197,4043
가평군,2023-05,871,5064,3785
가평군,2023-04,855,3668,4057
가평군,2023-03,3130,4284,3609
가평군,2023-02,769,3032,3092
가평군,2023-01,717,3140,3540
고양시,2023-12,3103,15768,12994
고양시,2023-11,3247,14389,12450
고양시,2023-10,4554,13499,11696
고양시,2023-09,4207,10500,11022
고양시,2023-08,3527,11057,11989
고양시,2023-07,3811,14686,11992
고양시,2023-06,2809,10175,11714
고양시,2023-05,3722,11006,12514
고양시,2023-04,4329,13576,12364
고양시,2023-03,4029,13370,11819
고양시,2023-02,4467,11680,9746
고양시,2023-01,4126,1610,6951
과천시,2023-12,535,3660,3712
과천시,2023-11,602,3332,3538
과천시,2023-10,740,3604,3738
과천시,2023-09,1123,5776,3535
과천시,2023-08,798,2638,2771
과천시,2023-07,658,2897,2832
과천시,2023-06,520,2746,2940
과천시,2023-05,506,2940,3146
과천시,2023-04,608,2935,3181
과천시,2023-03,688,2933,3561
과천시,2023-02,819,2626,3594
과천시,2023-01,982,5704,4197
광명시,2023-12,1474,2100,5453
광명시,2023-11,1915,9298,9898
광명시,2023-10,2235,8983,11292
광명시,2023-09,2486,16970,12756
광명시,2023-08,2427,8529,10113
광명시,2023-07,2718,9721,11928
광명시,2023-06,3154,10419,14039
광명시,2023-05,7015,18861,17427
광명시,2023-04,20221,15752,17141
광명시,2023-03,12936,18333,13846
광명시,2023-02,2690,9573,11621
광명시,2023-01,2668,17080,12541
광주시,2023-12,1375,12936,10317
광주시,2023-11,1477,17709,17731
광주시,2023-10,1698,12414,10128
광주시,2023-09,1613,11394,8828
광주시,2023-08,1862,15239,14372
광주시,2023-07,1852,15317,14254
광주시,2023-06,1235,9267,6642
광주시,2023-05,1708,17582,16384
광주시,2023-04,1991,16112,17603
광주시,2023-03,2103,16317,18922
광주시,2023-02,2503,12312,17690
광주시,2023-01,2638,26982,23709
구리시,2023-12,1240,5998,7811
구리시,2023-11,1257,4394,7730
구리시,2023-10,1679,10079,9019
구리시,2023-09,1754,14831,8557
구리시,2023-08,1479,5675,6597
구리시,2023-07,1327,6336,7712
구리시,2023-06,1392,4649,7367
구리시,2023-05,1962,15132,9300
구리시,2023-04,1666,6415,7266
구리시,2023-03,1904,6468,7903
구리시,2023-02,2696,4726,5914
구리시,2023-01,1696,11045,9239
군포시,2023-12,1332,8678,9180
군포시,2023-11,1337,8125,8968
